tweet_id,timestamp,likes,retweet_count
858860390427611136,Mon May 01 01:47:28 +0000 2017,0,7106
858843525470990336,Mon May 01 00:40:27 +0000 2017,14153,3033
858471635011153920,Sun Apr 30 00:02:42 +0000 2017,19533,4273
858107933456039936,Fri Apr 28 23:57:28 +0000 2017,14262,2543
857989990357356544,Fri Apr 28 16:08:49 +0000 2017,14520,2272
857746408056729600,Fri Apr 28 00:00:54 +0000 2017,30887,9375
857393404942143489,Thu Apr 27 00:38:11 +0000 2017,5319,1444
857263160327368704,Wed Apr 26 16:00:39 +0000 2017,18285,3994
857214891891077121,Wed Apr 26 12:48:51 +0000 2017,205,16
857062103051644929,Wed Apr 26 02:41:43 +0000 2017,0,148
857029823797047296,Wed Apr 26 00:33:27 +0000 2017,17091,3501
856543823941562368,Mon Apr 24 16:22:16 +0000 2017,14869,2555
856526610513747968,Mon Apr 24 15:13:52 +0000 2017,10850,1660
856288084350160898,Sun Apr 23 23:26:03 +0000 2017,489,15
856282028240666624,Sun Apr 23 23:01:59 +0000 2017,25304,5598
855862651834028034,Sat Apr 22 19:15:32 +0000 2017,303,21
855860136149123072,Sat Apr 22 19:05:32 +0000 2017,4427,853
855857698524602368,Sat Apr 22 18:55:51 +0000 2017,10875,1869
855851453814013952,Sat Apr 22 18:31:02 +0000 2017,41971,16169
855818117272018944,Sat Apr 22 16:18:34 +0000 2017,24328,4830
855459453768019968,Fri Apr 21 16:33:22 +0000 2017,27168,7324
855245323840757760,Fri Apr 21 02:22:29 +0000 2017,0,5281
855138241867124737,Thu Apr 20 19:16:59 +0000 2017,0,36
854732716440526848,Wed Apr 19 16:25:34 +0000 2017,20733,5375
854482394044301312,Tue Apr 18 23:50:52 +0000 2017,26651,6044
854365224396361728,Tue Apr 18 16:05:17 +0000 2017,17241,4171
854120357044912130,Mon Apr 17 23:52:16 +0000 2017,29292,6614
854010172552949760,Mon Apr 17 16:34:26 +0000 2017,14869,2807
853760880890318849,Mon Apr 17 00:03:50 +0000 2017,26140,5128
853639147608842240,Sun Apr 16 16:00:07 +0000 2017,31631,8908
853299958564483072,Sat Apr 15 17:32:18 +0000 2017,14207,3180
852936405516943360,Fri Apr 14 17:27:40 +0000 2017,0,1796
852912242202992640,Fri Apr 14 15:51:39 +0000 2017,8275,1606
852672615818899456,Thu Apr 13 23:59:28 +0000 2017,13680,1921
852553447878664193,Thu Apr 13 16:05:56 +0000 2017,14929,3131
852311364735569921,Thu Apr 13 00:03:59 +0000 2017,30419,8905
852226086759018497,Wed Apr 12 18:25:07 +0000 2017,18390,6111
852189679701164033,Wed Apr 12 16:00:27 +0000 2017,10593,1423
851591660324737024,Tue Apr 11 00:24:08 +0000 2017,15000,3138
851464819735769094,Mon Apr 10 16:00:07 +0000 2017,22316,6332
851224888060895234,Mon Apr 10 00:06:42 +0000 2017,19087,5192
850753642995093505,Sat Apr 08 16:54:09 +0000 2017,28224,8113
850380195714523136,Fri Apr 07 16:10:12 +0000 2017,12111,2340
850333567704068097,Fri Apr 07 13:04:55 +0000 2017,3201,301
850145622816686080,Fri Apr 07 00:38:06 +0000 2017,15085,3407
850019790995546112,Thu Apr 06 16:18:05 +0000 2017,18820,4392
849776966551130114,Thu Apr 06 00:13:11 +0000 2017,27988,6852
849668094696017920,Wed Apr 05 17:00:34 +0000 2017,0,4463
849412302885593088,Wed Apr 05 00:04:08 +0000 2017,14706,2843
849336543269576704,Tue Apr 04 19:03:06 +0000 2017,10590,1698
849051919805034497,Tue Apr 04 00:12:06 +0000 2017,39109,7660
848690551926992896,Mon Apr 03 00:16:10 +0000 2017,23331,3936
848324959059550208,Sun Apr 02 00:03:26 +0000 2017,22889,4178
848213670039564288,Sat Apr 01 16:41:12 +0000 2017,7552,649
848212111729840128,Sat Apr 01 16:35:01 +0000 2017,15071,2728
847978865427394560,Sat Apr 01 01:08:10 +0000 2017,0,2936
847971574464610304,Sat Apr 01 00:39:12 +0000 2017,0,397
847962785489326080,Sat Apr 01 00:04:17 +0000 2017,21781,4594
847842811428974592,Fri Mar 31 16:07:33 +0000 2017,5025,1195
847617282490613760,Fri Mar 31 01:11:22 +0000 2017,6480,376
847606175596138505,Fri Mar 31 00:27:14 +0000 2017,17395,3103
847251039262605312,Thu Mar 30 00:56:03 +0000 2017,19039,3933
847157206088847362,Wed Mar 29 18:43:12 +0000 2017,18416,5268
847116187444137987,Wed Mar 29 16:00:12 +0000 2017,19927,2889
846874817362120707,Wed Mar 29 00:01:05 +0000 2017,18672,3566
846514051647705089,Tue Mar 28 00:07:32 +0000 2017,41317,10426
846505985330044928,Mon Mar 27 23:35:28 +0000 2017,13111,2772
846153765933735936,Mon Mar 27 00:15:53 +0000 2017,29201,8204
846139713627017216,Sun Mar 26 23:20:02 +0000 2017,28892,9195
846042936437604353,Sun Mar 26 16:55:29 +0000 2017,14852,2599
845812042753855489,Sun Mar 26 01:38:00 +0000 2017,27108,7904
845677943972139009,Sat Mar 25 16:45:08 +0000 2017,23502,4397
845397057150107648,Fri Mar 24 22:08:59 +0000 2017,7109,1624
845306882940190720,Fri Mar 24 16:10:40 +0000 2017,21681,4882
845098359547420673,Fri Mar 24 02:22:04 +0000 2017,0,6963
844979544864018432,Thu Mar 23 18:29:57 +0000 2017,12712,2320
844973813909606400,Thu Mar 23 18:07:10 +0000 2017,13973,2866
844580511645339650,Wed Mar 22 16:04:20 +0000 2017,15330,2827
844223788422217728,Tue Mar 21 16:26:50 +0000 2017,12729,1995
843981021012017153,Tue Mar 21 00:22:10 +0000 2017,14163,2710
843856843873095681,Mon Mar 20 16:08:44 +0000 2017,20011,4180
843604394117681152,Sun Mar 19 23:25:35 +0000 2017,15758,2491
843235543001513987,Sat Mar 18 22:59:54 +0000 2017,20032,5441
842846295480000512,Fri Mar 17 21:13:10 +0000 2017,14258,3322
842765311967449089,Fri Mar 17 15:51:22 +0000 2017,6318,1178
842535590457499648,Fri Mar 17 00:38:32 +0000 2017,16968,3195
842163532590374912,Thu Mar 16 00:00:07 +0000 2017,22802,5281
842115215311396866,Wed Mar 15 20:48:07 +0000 2017,13068,2767
841833993020538882,Wed Mar 15 02:10:39 +0000 2017,0,13630
841680585030541313,Tue Mar 14 16:01:03 +0000 2017,24101,7178
841439858740625411,Tue Mar 14 00:04:30 +0000 2017,11787,3347
841320156043304961,Mon Mar 13 16:08:50 +0000 2017,18468,5040
841314665196081154,Mon Mar 13 15:47:01 +0000 2017,14791,4252
841077006473256960,Mon Mar 13 00:02:39 +0000 2017,21406,4903
840761248237133825,Sun Mar 12 03:07:56 +0000 2017,0,1626
840728873075638272,Sun Mar 12 00:59:17 +0000 2017,0,14654
840698636975636481,Sat Mar 11 22:59:09 +0000 2017,164,2
840696689258311684,Sat Mar 11 22:51:24 +0000 2017,11517,892
840632337062862849,Sat Mar 11 18:35:42 +0000 2017,8451,1626
840370681858686976,Sat Mar 11 01:15:58 +0000 2017,15378,4194
840268004936019968,Fri Mar 10 18:27:58 +0000 2017,17956,5242
839990271299457024,Fri Mar 10 00:04:21 +0000 2017,12573,2078
839549326359670784,Wed Mar 08 18:52:12 +0000 2017,25665,7106
839290600511926273,Wed Mar 08 01:44:07 +0000 2017,0,133
839239871831150596,Tue Mar 07 22:22:32 +0000 2017,25318,5965
838952994649550848,Tue Mar 07 03:22:35 +0000 2017,18417,3672
838921590096166913,Tue Mar 07 01:17:48 +0000 2017,10456,1862
838916489579200512,Tue Mar 07 00:57:32 +0000 2017,0,31
838831947270979586,Mon Mar 06 19:21:35 +0000 2017,0,10077
838561493054533637,Mon Mar 06 01:26:54 +0000 2017,10278,1235
838476387338051585,Sun Mar 05 19:48:43 +0000 2017,21047,4363
838201503651401729,Sun Mar 05 01:36:26 +0000 2017,0,9245
838150277551247360,Sat Mar 04 22:12:52 +0000 2017,1572,304
838085839343206401,Sat Mar 04 17:56:49 +0000 2017,133,1
838083903487373313,Sat Mar 04 17:49:08 +0000 2017,16523,2858
837820167694528512,Sat Mar 04 00:21:08 +0000 2017,31945,7179
837482249356513284,Fri Mar 03 01:58:22 +0000 2017,3620,409
837471256429613056,Fri Mar 03 01:14:41 +0000 2017,12020,2070
837110210464448512,Thu Mar 02 01:20:01 +0000 2017,15101,2187
836989968035819520,Wed Mar 01 17:22:13 +0000 2017,11989,2123
836753516572119041,Wed Mar 01 01:42:39 +0000 2017,18181,4277
836677758902222849,Tue Feb 28 20:41:37 +0000 2017,11874,2033
836648853927522308,Tue Feb 28 18:46:45 +0000 2017,0,509
836397794269200385,Tue Feb 28 02:09:08 +0000 2017,0,25189
836380477523124226,Tue Feb 28 01:00:19 +0000 2017,13944,2755
836260088725786625,Mon Feb 27 17:01:56 +0000 2017,20021,3993
836001077879255040,Sun Feb 26 23:52:43 +0000 2017,17952,3907
835685285446955009,Sun Feb 26 02:57:52 +0000 2017,0,7459
